
##################################################
#             Conservación de Energía            #
##################################################

Step, tiempo, energía total
687, 6.87, 0.181901
688, 6.88, 0.181632
689, 6.89, 0.181364
690, 6.9, 0.181096
691, 6.91, 0.180828
692, 6.92, 0.180562
693, 6.93, 0.180296
694, 6.94, 0.18003
695, 6.95, 0.179766
696, 6.96, 0.179502
697, 6.97, 0.179239
698, 6.98, 0.178976
699, 6.99, 0.178714
700, 7, 0.178453
701, 7.01, 0.178192
702, 7.02, 0.177932
703, 7.03, 0.177672
704, 7.04, 0.177414
705, 7.05, 0.177156
706, 7.06, 0.176898
707, 7.07, 0.176641
708, 7.08, 0.176385
709, 7.09, 0.17613
710, 7.1, 0.175875
711, 7.11, 0.17562
712, 7.12, 0.175367
713, 7.13, 0.175113
714, 7.14, 0.174861
715, 7.15, 0.174609
716, 7.16, 0.174358
717, 7.17, 0.174107
718, 7.18, 0.173857
719, 7.19, 0.173608
720, 7.2, 0.173359
721, 7.21, 0.173111
722, 7.22, 0.172863
723, 7.23, 0.172616
724, 7.24, 0.17237
725, 7.25, 0.172124
726, 7.26, 0.171879
727, 7.27, 0.171635
728, 7.28, 0.171391
729, 7.29, 0.171147
730, 7.3, 0.170904
731, 7.31, 0.170662
732, 7.32, 0.17042
733, 7.33, 0.170179
734, 7.34, 0.169939
735, 7.35, 0.169699
736, 7.36, 0.16946
737, 7.37, 0.169221
738, 7.38, 0.168983
739, 7.39, 0.168745
740, 7.4, 0.168508
741, 7.41, 0.168271
742, 7.42, 0.168035
743, 7.43, 0.1678
744, 7.44, 0.167565
745, 7.45, 0.167331
746, 7.46, 0.167097
747, 7.47, 0.166864
748, 7.48, 0.166631
749, 7.49, 0.166399
750, 7.5, 0.166168
751, 7.51, 0.165937
752, 7.52, 0.165706
753, 7.53, 0.165477
754, 7.54, 0.165247
755, 7.55, 0.165018
756, 7.56, 0.16479
757, 7.57, 0.164562
758, 7.58, 0.164335
759, 7.59, 0.164109
760, 7.6, 0.163882
761, 7.61, 0.163657
762, 7.62, 0.163432
763, 7.63, 0.163207
764, 7.64, 0.162983
765, 7.65, 0.16276
766, 7.66, 0.162537
767, 7.67, 0.162314
768, 7.68, 0.162092
769, 7.69, 0.161871
770, 7.7, 0.16165
771, 7.71, 0.161429
772, 7.72, 0.161209
773, 7.73, 0.16099
774, 7.74, 0.160771
775, 7.75, 0.160553
776, 7.76, 0.160335
777, 7.77, 0.160117
778, 7.78, 0.1599
779, 7.79, 0.159684
780, 7.8, 0.159468
781, 7.81, 0.159253
782, 7.82, 0.159038
783, 7.83, 0.158823
784, 7.84, 0.158609
785, 7.85, 0.158396
786, 7.86, 0.158183
787, 7.87, 0.157971
788, 7.88, 0.157759
789, 7.89, 0.157547
790, 7.9, 0.157336
791, 7.91, 0.157125
792, 7.92, 0.156915
793, 7.93, 0.156706
794, 7.94, 0.156496
795, 7.95, 0.156288
796, 7.96, 0.15608
797, 7.97, 0.155872
798, 7.98, 0.155665
799, 7.99, 0.155458
800, 8, 0.155251
801, 8.01, 0.155046
802, 8.02, 0.15484
803, 8.03, 0.154635
804, 8.04, 0.154431
805, 8.05, 0.154227
806, 8.06, 0.154023
807, 8.07, 0.15382
808, 8.08, 0.153617
809, 8.09, 0.153415
810, 8.1, 0.153213
811, 8.11, 0.153012
812, 8.12, 0.152811
813, 8.13, 0.152611
814, 8.14, 0.152411
815, 8.15, 0.152211
816, 8.16, 0.152012
817, 8.17, 0.151813
818, 8.18, 0.151615
819, 8.19, 0.151417
820, 8.2, 0.15122
821, 8.21, 0.151023
822, 8.22, 0.150826
823, 8.23, 0.15063
824, 8.24, 0.150435
825, 8.25, 0.150239
826, 8.26, 0.150045
827, 8.27, 0.14985
828, 8.28, 0.149656
829, 8.29, 0.149463
830, 8.3, 0.14927
831, 8.31, 0.149077
832, 8.32, 0.148885
833, 8.33, 0.148693
834, 8.34, 0.148502
835, 8.35, 0.148311
836, 8.36, 0.14812
837, 8.37, 0.14793
838, 8.38, 0.14774
839, 8.39, 0.147551
840, 8.4, 0.147362
841, 8.41, 0.147173
842, 8.42, 0.146985
843, 8.43, 0.146797
844, 8.44, 0.14661
845, 8.45, 0.146423
846, 8.46, 0.146237
847, 8.47, 0.14605
848, 8.48, 0.145865
849, 8.49, 0.145679
850, 8.5, 0.145494
851, 8.51, 0.14531
852, 8.52, 0.145126
853, 8.53, 0.144942
854, 8.54, 0.144759
855, 8.55, 0.144576
856, 8.56, 0.144393
